SoldTo,Name,ADRC,ST2,Sales Organization,Distribution Channel,Division,Partner Function,Partner counter,Partner,Name,Partner Description,Default Partner,ADRC,ST2
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,70,PY,0,5002047,A B C SPLY BELOIT,,X,76274,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,70,SH,1,3514180,ZZTHORNE METAL SYSTEMS,,,302609,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,70,SP,0,1004994,A B C SPLY 495 JACKSONVILLE,,,87768,495
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,16,BP,0,1005002,A B C SPLY 489 NAPLES,,,87772,489
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,16,PY,0,1005002,A B C SPLY 489 NAPLES,,,87772,489
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,16,SH,0,1005002,A B C SPLY 489 NAPLES,,,87772,489
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,16,SP,0,1005002,A B C SPLY 489 NAPLES,,,87772,489
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,20,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,20,PY,0,5002047,A B C SPLY BELOIT,,,76274,
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,20,SH,0,1005002,A B C SPLY 489 NAPLES,,,87772,489
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,20,SH,1,3542888,KELLY ROOFING,,,509664,
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,20,SP,0,1005002,A B C SPLY 489 NAPLES,,,87772,489
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,30,BP,0,6004275,A B C SPLY BELOIT,,X,75986,
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,30,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1005002,A B C SPLY 489 NAPLES,87772,489,1210,0,30,SH,0,1005002,A B C SPLY 489 NAPLES,,,87772,489
